date,portfolio_value,cash,positions,total_pnl
2024-01-02,100000.0,100000.0,0,0.0
2024-01-03,100000.0,82187.73,3,0.0
2024-01-04,100000.0,82187.73,3,0.0
2024-01-05,100000.0,82187.73,3,0.0
2024-01-08,100000.0,82187.73,3,0.0
2024-01-09,100000.0,82187.73,3,0.0
2024-01-10,100000.0,82187.73,3,0.0
2024-01-11,100000.0,82187.73,3,0.0
2024-01-12,100000.0,82187.73,3,0.0
2024-01-16,100000.0,82187.73,3,0.0
2024-01-17,100000.0,82187.73,3,0.0
2024-01-18,100000.0,82187.73,3,0.0
2024-01-19,100000.0,82187.73,3,0.0
2024-01-22,100000.0,82187.73,3,0.0
2024-01-23,100000.0,82187.73,3,0.0
2024-01-24,100000.0,82187.73,3,0.0
2024-01-25,101847.16,85869.45,3,1847.16
2024-01-26,101847.16,85869.45,3,1847.16
2024-01-29,101847.16,85869.45,3,1847.16
2024-01-30,101847.16,85869.45,3,1847.16
2024-01-31,101847.16,85869.45,3,1847.16
2024-02-01,101860.36,88330.53,3,1860.36
2024-02-02,101860.36,88330.53,3,1860.36
2024-02-05,101860.36,88330.53,3,1860.36
2024-02-06,101860.36,88330.53,3,1860.36
2024-02-07,101860.36,88330.53,3,1860.36
2024-02-08,103325.34,92682.81,3,3325.34
2024-02-09,103325.34,92682.81,3,3325.34
2024-02-12,103325.34,92682.81,3,3325.34
2024-02-13,103325.34,92682.81,3,3325.34
2024-02-14,103325.34,92682.81,3,3325.34
2024-02-15,103325.34,92682.81,3,3325.34
2024-02-16,103325.34,92682.81,3,3325.34
2024-02-20,103325.34,92682.81,3,3325.34
2024-02-21,103325.34,92682.81,3,3325.34
2024-02-22,103325.34,92682.81,3,3325.34
2024-02-23,104592.03,95671.39,3,4592.03
2024-02-26,104592.03,95671.39,3,4592.03
2024-02-27,104592.03,95671.39,3,4592.03
2024-02-28,104592.03,95671.39,3,4592.03
2024-02-29,104592.03,95671.39,3,4592.03
2024-03-01,104750.75,98760.99,3,4750.75
2024-03-04,104750.75,98760.99,3,4750.75
2024-03-05,104750.75,98760.99,3,4750.75
2024-03-06,104750.75,98760.99,3,4750.75
2024-03-07,104750.75,98760.99,3,4750.75
2024-03-08,105091.08,102830.04,1,5091.08
2024-03-11,105091.08,102830.04,1,5091.08
2024-03-12,105091.08,102830.04,1,5091.08
2024-03-13,105091.08,102830.04,1,5091.08
2024-03-14,105091.08,102830.04,1,5091.08
2024-03-15,105091.08,89591.51,3,5091.08
2024-03-18,105091.08,89591.51,3,5091.08
2024-03-19,105091.08,89591.51,3,5091.08
2024-03-20,105091.08,89591.51,3,5091.08
2024-03-21,105091.08,89591.51,3,5091.08
2024-03-22,105091.08,89591.51,3,5091.08
2024-03-25,105091.08,89591.51,3,5091.08
2024-03-26,105091.08,89591.51,3,5091.08
2024-03-27,105091.08,89591.51,3,5091.08
2024-03-28,105091.08,89591.51,3,5091.08
2024-04-01,105091.08,89591.51,3,5091.08
2024-04-02,105091.08,89591.51,3,5091.08
2024-04-03,105091.08,89591.51,3,5091.08
2024-04-04,105091.08,89591.51,3,5091.08
2024-04-05,105091.08,89591.51,3,5091.08
2024-04-08,105091.08,89591.51,3,5091.08
2024-04-09,105091.08,89591.51,3,5091.08
2024-04-10,105091.08,89591.51,3,5091.08
2024-04-11,105091.08,89591.51,3,5091.08
2024-04-12,105091.08,89591.51,3,5091.08
2024-04-15,105091.08,89591.51,3,5091.08
2024-04-16,105091.08,89591.51,3,5091.08
2024-04-17,105091.08,89591.51,3,5091.08
2024-04-18,105091.08,89591.51,3,5091.08
2024-04-19,105091.08,89591.51,3,5091.08
2024-04-22,105091.08,89591.51,3,5091.08
2024-04-23,105091.08,89591.51,3,5091.08
2024-04-24,105091.08,89591.51,3,5091.08
2024-04-25,105091.08,89591.51,3,5091.08
2024-04-26,105091.08,89591.51,3,5091.08
2024-04-29,105091.08,89591.51,3,5091.08
2024-04-30,105091.08,89591.51,3,5091.08
2024-05-01,105091.08,89591.51,3,5091.08
2024-05-02,105091.08,89591.51,3,5091.08
2024-05-03,105091.08,89591.51,3,5091.08
2024-05-06,105091.08,89591.51,3,5091.08
2024-05-07,105091.08,89591.51,3,5091.08
2024-05-08,105091.08,89591.51,3,5091.08
2024-05-09,105091.08,89591.51,3,5091.08
2024-05-10,105091.08,89591.51,3,5091.08
2024-05-13,105091.08,89591.51,3,5091.08
2024-05-14,105091.08,89591.51,3,5091.08
2024-05-15,105091.08,89591.51,3,5091.08
2024-05-16,105091.08,89591.51,3,5091.08
2024-05-17,105091.08,89591.51,3,5091.08
2024-05-20,105091.08,89591.51,3,5091.08
2024-05-21,105091.08,89591.51,3,5091.08
2024-05-22,105091.08,89591.51,3,5091.08
2024-05-23,105091.08,89591.51,3,5091.08
2024-05-24,105091.08,89591.51,3,5091.08
2024-05-28,105091.08,89591.51,3,5091.08
2024-05-29,105091.08,89591.51,3,5091.08
2024-05-30,105091.08,89591.51,3,5091.08
2024-05-31,105091.08,89591.51,3,5091.08
2024-06-03,105091.08,89591.51,3,5091.08
2024-06-04,105091.08,89591.51,3,5091.08
2024-06-05,105091.08,89591.51,3,5091.08
2024-06-06,105091.08,89591.51,3,5091.08
2024-06-07,105091.08,89591.51,3,5091.08
2024-06-10,103824.68,95360.63,2,3824.68
2024-06-11,103824.68,90245.45,3,3824.68
2024-06-12,103824.68,90245.45,3,3824.68
2024-06-13,103824.68,90245.45,3,3824.68
2024-06-14,103824.68,90245.45,3,3824.68
2024-06-17,103824.68,90245.45,3,3824.68
2024-06-18,103824.68,90245.45,3,3824.68
2024-06-20,103824.68,90245.45,3,3824.68
2024-06-21,103824.68,90245.45,3,3824.68
2024-06-24,103824.68,90245.45,3,3824.68
2024-06-25,103824.68,90245.45,3,3824.68
2024-06-26,103824.68,90245.45,3,3824.68
2024-06-27,103824.68,90245.45,3,3824.68
2024-06-28,103824.68,90245.45,3,3824.68
